Species1,Species,Genus,DrySeedStdValue,HeightStdValue,NitrogenStdValue,PhosphorusStdValue,StemStdValue
Abies sibirica,Abies sibirica,Abies,10,36.66666667,13.83653294,1.370401819,0.5
Abutilon austroafricanum,Abutilon austroafricanum,Abutilon,3.968166667,1.462765957,38.02090909,3.358333333,NA
Acacia pulchella,Acacia pulchella,Acacia,4.242857143,7.763757721,25.56402931,0.925483756,0.107220698
Acacia alata,Acacia alata,Acacia,7.500598548,7.763757721,25.56402931,0.925483756,0.107220698
Acacia myrtifolia,Acacia myrtifolia,Acacia,9.408854377,1,16.6,0.1479846,0.107220698
Acacia extensa,Acacia extensa,Acacia,12.20909091,7.763757721,25.56402931,0.925483756,0.107220698
Acacia varia,Acacia varia,Acacia,28.41216416,7.763757721,25.56402931,0.925483756,0.107220698
Acacia browniana,Acacia browniana,Acacia,28.41216416,7.763757721,25.56402931,0.925483756,0.107220698
Acacia obovata,Acacia obovata,Acacia,28.41216416,7.763757721,25.56402931,0.925483756,0.107220698
Acacia tayloriana,Acacia tayloriana,Acacia,28.41216416,7.763757721,25.56402931,0.925483756,0.107220698
Acacia nigrescens,Acacia nigrescens,Acacia,28.41216416,7.763757721,25.56402931,0.925483756,0.107220698
Acacia borleae,Acacia borleae,Acacia,28.41216416,7.763757721,25.56402931,0.925483756,0.107220698
Acacia nilotica,Acacia nilotica,Acacia,107.975,5.810526316,23.4517811,1.274820867,0.017583333
Acalypha virginica,Acalypha virginica,Acalypha,0.625998995,0.7572,15.67,2.210363435,0.055439024
Acalypha gracilens,Acalypha gracilens,Acalypha,3.96077916,1.373295575,30.56454505,2.210363435,0.055439024
Acalypha punctata,Acalypha punctata,Acalypha,3.96077916,1.373295575,30.56454505,2.210363435,0.055439024
Acalypha villicaulis,Acalypha villicaulis,Acalypha,3.96077916,1.373295575,30.56454505,2.210363435,0.055439024
Acantholippia seriphioides,Acantholippia seriphioides,Acantholippia,0.25,NA,NA,NA,NA
Acer rubrum,Acer rubrum,Acer,22.43972595,7.109803871,17.45983113,1.337259464,0.036114565
Acer saccharum,Acer saccharum,Acer,65.78114686,2.930994687,21.59777991,1.685725743,0.259731849
Acer saccharinum,Acer saccharinum,Acer,236.5003279,31.4444,23.66667,3.33333,0.9
Achillea millefolium,Achillea millefolium,Achillea,0.165923491,0.220963971,24.8271639,2.392320745,0.003375222
Achyranthes aspera,Achyranthes aspera,Achyranthes,3.465370499,0.825,NA,NA,NA
Achyropsis leptostachya,Achyropsis leptostachya,Achyropsis,NA,0.375,NA,NA,NA
Adenanthos obovatus,Adenanthos obovatus,Adenanthos,0.0015,1.5,8.008,0.16,NA
Adenanthos barbigerus,Adenanthos barbigerus,Adenanthos,0.0015,1.222222222,8.008,0.16,NA
Aeschynomene brevifolia,Aeschynomene brevifolia,Aeschynomene,9.626307692,1.64659633,NA,NA,NA
Agalinis obtusifolia,Agalinis obtusifolia,Agalinis,0.20522449,0.469034343,11.65,NA,NA
Agalinis fasciculata,Agalinis fasciculata,Agalinis,0.20522449,0.469034343,11.65,NA,NA
Agalinis aspera,Agalinis aspera,Agalinis,0.32,0.469034343,11.65,NA,NA
Agathisanthemum chlorophyllum,Agathisanthemum chlorophyllum,Agathisanthemum,0.02,0.7625,NA,NA,NA
Ageratina altissima,Ageratina altissima,Ageratina,0.186,0.515,35.44,2.45,NA
Ageratina aromatica,Ageratina aromatica,Ageratina,0.604849558,0.550625,27.93536136,1.752,NA
Agrimonia gryposepala,Agrimonia gryposepala,Agrimonia,13.35115942,1.79832,20.72199464,2.946983728,0.00446
Agrimonia,Agrimonia,Agrimonia,13.7999116,0.742594754,20.72199464,2.946983728,0.00446
Agrostis hyemalis,Agrostis hyemalis,Agrostis,0.056134246,0.539466667,17.45,2.072289451,0.001305738
Agrostis scabra,Agrostis scabra,Agrostis,0.056697464,13.33845833,13.62581694,2.072289451,0.001305738
Agrostis,Agrostis,Agrostis,5.262803519,0.71441461,21.4,2.072289451,0.001305738
Agrostocrinum scabrum,Agrostocrinum scabrum,Agrostocrinum,1.71,NA,NA,NA,NA
Aira cupaniana,Aira cupaniana,Aira,0.043413223,0.129333333,5.2,NA,NA
Albuca,Albuca,Albuca,4.8,0.3,NA,NA,NA
Allium canadense,Allium canadense,Allium,1.815209356,0.273,21.71,2.249277704,NA
Allium,Allium,Allium,18.5,0.362722648,27.65830294,2.249277704,NA
Allocasuarina fraseriana,Allocasuarina fraseriana,Allocasuarina,5.36,7.715625,10.92769231,0.404538486,NA
Aloe maculata,Aloe maculata,Aloe,1.64,2.791836735,9.15,NA,NA
Alysicarpus rugosus,Alysicarpus rugosus,Alysicarpus,1.65,1.1,30,4,NA
Amaranthus,Amaranthus,Amaranthus,0.58376318,0.62885082,18.52371635,3.136,NA
Amauriopsis dissecta,Amauriopsis dissecta,Amauriopsis,0.38,0.56,22,NA,NA
Ambrosia artemisiifolia,Ambrosia artemisiifolia,Ambrosia,3.995454545,0.527699618,27.16,2.578333333,0.0039
Ambrosia psilostachya,Ambrosia psilostachya,Ambrosia,6.546166667,0.459034483,21.55226531,2.503333333,0.0039
Ambrosia trifida,Ambrosia trifida,Ambrosia,10.93655,1.025,39.075,2.578333333,0.0039
Amelanchier arborea,Amelanchier arborea,Amelanchier,5.671606842,13.36836364,21.38,2.278663171,0.00182
Ammocharis,Ammocharis,Ammocharis,NA,0.035,NA,NA,NA
Amorpha canescens,Amorpha canescens,Amorpha,1.850111981,0.581802532,25.29683074,1.5,0.003666667
Ampelocissus africana,Ampelocissus africana,Ampelocissus,44.22,2,19.16339576,NA,NA
Ampelopsis arborea,Ampelopsis arborea,Ampelopsis,18.36,0.03048,24.93594142,2.601979391,NA
Amperea ericoides,Amperea ericoides,Amperea,NA,0.5,NA,NA,NA
Amphicarpa bracteata,Amphicarpa bracteata,Amphicarpa,NA,0.38,27.75716667,NA,NA
Amphicarpaea bracteata,Amphicarpaea bracteata,Amphicarpaea,29.72666667,0.183333333,30.506,1.925,NA
Amphipogon amphipogonoides,Amphipogon amphipogonoides,Amphipogon,1.077142857,0.6,NA,NA,NA
Anarthria scabra,Anarthria scabra,Anarthria,2.43,1.5,NA,NA,NA
Anarthria prolifera,Anarthria prolifera,Anarthria,2.43,1.5,NA,NA,NA
Andropogon virginicus,Andropogon virginicus,Andropogon,0.376796649,0.655874286,13.3,1,0.00275
Andropogon fastigiatus,Andropogon fastigiatus,Andropogon,0.44,1.5,12.83769553,1.4273,0.00275
Andropogon glomeratus,Andropogon glomeratus,Andropogon,0.737852245,1.92024,15.3,0.673,0.00275
Andropogon ternarius,Andropogon ternarius,Andropogon,1.749458758,1.18872,12.83769553,1.4273,0.00275
Andropogon pseudapricus,Andropogon pseudapricus,Andropogon,1.75,1.5,12.83769553,1.4273,0.00275
Andropogon gerardii,Andropogon gerardii,Andropogon,1.972144083,1.183690123,10.86632891,1.4273,0.00275
Andropogon gayanus,Andropogon gayanus,Andropogon,2.228599813,3.5,10.43333333,0.85,0.00275
Andropogon,Andropogon,Andropogon,2.228599813,0.72244931,11.9875,1.45,0.00275
Andropogon chinensis,Andropogon chinensis,Andropogon,2.228599813,1.7,12.83769553,1.4273,0.00275
Andropogon gyrans,Andropogon gyrans,Andropogon,2.228599813,0.72244931,12.83769553,1.4273,0.00275
Androsace occidentalis,Androsace occidentalis,Androsace,0.21,0.034495537,19.4925,3.18,NA
Anemonella thalictroides,Anemonella thalictroides,Anemonella,2.69,NA,NA,NA,NA
Anigozanthos manglesii,Anigozanthos manglesii,Anigozanthos,1.096666667,NA,35.46,NA,NA
Antennaria parvifolia,Antennaria parvifolia,Antennaria,0.068714286,0.0183,14.2975,1.721666667,NA
Antennaria rosulata,Antennaria rosulata,Antennaria,0.073,0.01215,16.03466667,1.665,NA
Antennaria neglecta,Antennaria neglecta,Antennaria,0.081562099,0.1231,15.25963636,1.9,NA
Antennaria parlinii,Antennaria parlinii,Antennaria,46.79898567,0.061293947,15.54477052,1.760526316,NA
Antennaria marginata,Antennaria marginata,Antennaria,46.79898567,0.061293947,15.54477052,1.760526316,NA
Anthaenantia villosa,Anthaenantia villosa,Anthaenantia,NA,0.3,NA,NA,NA
Apocynum cannabinum,Apocynum cannabinum,Apocynum,0.967319807,1.05146,17.24,1.91,NA
Aralia spinosa,Aralia spinosa,Aralia,5.824979466,5.280104348,25.52558737,2.78763793,NA
Arctostaphylos alpina,Arctostaphylos alpina,Arctostaphylos,30.24663877,2.75712,8.472020582,0.985495061,NA
Arenaria lanuginosa,Arenaria lanuginosa,Arenaria,0.163342574,0.119806723,17.968,1.2525,NA
Arisaema triphyllum,Arisaema triphyllum,Arisaema,30.20632411,0.19715,41.08333333,3.025,NA
Arisaema dracontium,Arisaema dracontium,Arisaema,50.115,0.19715,41.08333333,3.025,NA
Aristea abyssinica,Aristea abyssinica,Aristea,1.3,0.29,NA,NA,NA
Aristida congesta,Aristida congesta,Aristida,0.326,0.337428571,14.255,1.219217777,NA
Aristida purpurascens,Aristida purpurascens,Aristida,0.437222222,0.361,13.14519742,1.219217777,NA
Aristida stricta,Aristida stricta,Aristida,0.648599034,1.18872,13.14519742,1.219217777,NA
Aristida adscensionis,Aristida adscensionis,Aristida,1.17,0.368666667,16.55633639,1.651100316,NA
Aristida junciformis,Aristida junciformis,Aristida,1.664001794,0.6,13.14519742,1.219217777,NA
Aristida arizonica,Aristida arizonica,Aristida,7.04515942,0.6096,13.14519742,1.219217777,NA
Aristolochia serpentaria,Aristolochia serpentaria,Aristolochia,24.24556061,1.623511111,33.34851111,3.966666667,0.0015
Artemisia ludoviciana,Artemisia ludoviciana,Artemisia,0.13598315,0.291821875,18.985,2.133223053,NA
Asclepias viridiflora,Asclepias viridiflora,Asclepias,1.272478161,0.357142857,14.74,1.491,0.008490143
Asclepias verticillata,Asclepias verticillata,Asclepias,2.346111111,0.658,14.6,1.4,0.0021
Asclepias viridis,Asclepias viridis,Asclepias,3.723445161,0.328888889,30.71,1.491,0.00465
Asclepias tuberosa,Asclepias tuberosa,Asclepias,3.771387657,0.525284211,28.40523158,1.491,0.003314286
Asclepias stenophylla,Asclepias stenophylla,Asclepias,4.683291651,0.651978861,21.89,1.491,0.008490143
Asclepias,Asclepias,Asclepias,4.683291651,0.651978861,22.62138461,1.491,0.008490143
Asclepias michauxii,Asclepias michauxii,Asclepias,4.683291651,0.651978861,22.62138461,1.491,0.008490143
Asclepias variegata,Asclepias variegata,Asclepias,4.683291651,0.651978861,22.62138461,1.491,0.008490143
Asclepias sullivantii,Asclepias sullivantii,Asclepias,4.7,0.651978861,24.09,1.491,0.008490143
Asclepias syriaca,Asclepias syriaca,Asclepias,5.80779166,0.984723404,28.10261016,3.4,0.009166281
Asclepias amplexicaulis,Asclepias amplexicaulis,Asclepias,10.6,0.8,22,2.1,0.008490143
Asimina parviflora,Asimina parviflora,Asimina,339.2703231,0.6,22.18934911,NA,0.035130303
Asimina angustifolia,Asimina angustifolia,Asimina,613.4055133,0.38,22.18934911,NA,0.035130303
Aspilia rudis,Aspilia rudis,Aspilia,3.364304348,0.442368842,NA,NA,NA
Aspilia bussei,Aspilia bussei,Aspilia,3.364304348,0.442368842,NA,NA,NA
Asplenium platyneuron,Asplenium platyneuron,Asplenium,NA,0.482123894,22.20857143,2.479925,NA
Aster dumosus,Aster dumosus,Aster,0.676994727,0.539662857,23.4195138,1.584701919,NA
Aster tortifolius,Aster tortifolius,Aster,0.676994727,0.539662857,23.4195138,1.584701919,NA
Aster bakerianus,Aster bakerianus,Aster,0.77,0.539662857,23.4195138,1.584701919,NA
Asteraceae,Asteraceae,Asteraceae,NA,0.175,20.54569866,NA,NA
Asterolasia pallida,Asterolasia pallida,Asterolasia,2.83625,0.070899355,NA,NA,0.001147742
Astragalus humistratus,Astragalus humistratus,Astragalus,1.95,0.0487,26.28,0.9375,0.0057
Astragalus tephrodes,Astragalus tephrodes,Astragalus,4.44,0.146198236,70.68306058,2.017579497,0.0057
Astragalus crassicarpus,Astragalus crassicarpus,Astragalus,6.218181818,0.146198236,37.85,2.017579497,0.0057
Astroloma pallidum,Astroloma pallidum,Astroloma,56.2,0.1,9.8,NA,NA
Astroloma drummondii,Astroloma drummondii,Astroloma,56.2,0.1,9.8,NA,NA
Astroloma ciliatum,Astroloma ciliatum,Astroloma,56.2,0.1,9.8,NA,NA
Asystasia mysorensis,Asystasia mysorensis,Asystasia,NA,0.3,NA,NA,NA
Aureolaria flava,Aureolaria flava,Aureolaria,0.43,1.5,NA,NA,NA
Austrostipa flavescens,Austrostipa flavescens,Austrostipa,0.5,0.8,15,NA,NA
Austrostipa campylachne,Austrostipa campylachne,Austrostipa,0.5,0.8,15,NA,NA
Avena,Avena,Avena,17.74118614,0.750299472,33.3,2.269349339,NA
Babingtonia camphorosmae,Babingtonia camphorosmae,Babingtonia,1.006153846,4,NA,NA,NA
Baccharis megapotamica,Baccharis megapotamica,Baccharis,0.202787814,1.363314779,20.28809408,1.225341199,NA
Baccharis gilliesii,Baccharis gilliesii,Baccharis,0.202787814,1.363314779,20.28809408,1.225341199,NA
Baccharis ulicina,Baccharis ulicina,Baccharis,0.202787814,1.363314779,20.28809408,1.225341199,NA
Baccharis crispa,Baccharis crispa,Baccharis,0.202787814,1.363314779,20.28809408,1.225341199,NA
Banksia grandis,Banksia grandis,Banksia,42.07327526,2.774849231,12.2,0.4,0.019251429
Banksia dallanneyi,Banksia dallanneyi,Banksia,42.07327526,2.774849231,7.379817229,0.272744419,0.019251429
Banksia bipinnatifida,Banksia bipinnatifida,Banksia,42.07327526,2.774849231,7.379817229,0.272744419,0.019251429
Baptisia tinctoria,Baptisia tinctoria,Baptisia,5.876332894,1.131,38.2686275,1,0.0115
Baptisia bracteata,Baptisia bracteata,Baptisia,13.12014705,0.451712077,41.08,1,0.0115
Baptisia australis,Baptisia australis,Baptisia,14.90492473,0.487572017,48.16,1,0.0115
Barleria,Barleria,Barleria,19.90142857,0.1016,34.1963768,NA,NA
Barleria transvaalensis,Barleria transvaalensis,Barleria,19.90142857,0.1016,34.1963768,NA,NA
Berchemia scandens,Berchemia scandens,Berchemia,45.49,0.324,25.32654493,1.147698583,NA
Berkheya setifera,Berkheya setifera,Berkheya,1.42,1.2,NA,NA,NA
Berkheya umbellata,Berkheya umbellata,Berkheya,1.91,1.161363636,NA,NA,NA
Betula pubescens,Betula pubescens,Betula,0.486807803,17.24155556,20.53938941,1.930352408,0.9
Bidens bipinnata,Bidens bipinnata,Bidens,2.6608875,1.125,30.74,2.799415881,0.005966667
Bigelowia nudata,Bigelowia nudata,Bigelowia,NA,0.7,NA,NA,NA
Bignonia capreolata,Bignonia capreolata,Bignonia,92.954875,14,20.52538111,1.125,NA
Billardiera heterophylla,Billardiera heterophylla,Billardiera,1.58,2.4,NA,NA,NA
Billardiera floribunda,Billardiera floribunda,Billardiera,2.618125424,2.4,NA,NA,NA
Billardiera variifolia,Billardiera variifolia,Billardiera,2.618125424,2.4,NA,NA,NA
Biophytum umbraculum,Biophytum umbraculum,Biophytum,0.27,0.16,NA,NA,NA
Blepharis integrifolia,Blepharis integrifolia,Blepharis,66.53692308,2.5,30,4,NA
Blepharis maderaspatensis,Blepharis maderaspatensis,Blepharis,66.53692308,2.5,30,4,NA
Blepharis,Blepharis,Blepharis,66.53692308,2.5,30,4,NA
Blepharoneuron tricholepis,Blepharoneuron tricholepis,Blepharoneuron,0.224287659,0.451161905,11.002,0.38,NA
Boechera canadensis,Boechera canadensis,Boechera,0.541722618,0.502858182,36,NA,NA
Boerhavia pilosa,Boerhavia pilosa,Boerhavia,13.88,0.7,NA,NA,NA
Boronia spathulata,Boronia spathulata,Boronia,2.841076289,0.630285714,11.85037604,0.219957197,0.003193125
Boronia crenulata,Boronia crenulata,Boronia,2.841076289,0.630285714,11.85037604,0.219957197,0.003193125
Boronia gracilipes,Boronia gracilipes,Boronia,2.841076289,0.630285714,11.85037604,0.219957197,0.003193125
Bossiaea ornata,Bossiaea ornata,Bossiaea,2.516666667,1.038461538,14.38775514,0.383037879,NA
Bossiaea linophylla,Bossiaea linophylla,Bossiaea,8.094437241,1.038461538,14.38775514,0.383037879,NA
Bossiaea rufa,Bossiaea rufa,Bossiaea,8.094437241,1.038461538,14.38775514,0.383037879,NA
Bothriochloa radicans,Bothriochloa radicans,Bothriochloa,0.790657489,0.566519643,17.775,1.186640824,NA
Botrychium virginianum,Botrychium virginianum,Botrychium,NA,0.457388571,32.78395994,2.31881,NA
Botrychium,Botrychium,Botrychium,NA,0.138154857,32.78395994,2.31881,NA
Botrychium dissectum,Botrychium dissectum,Botrychium,NA,0.138154857,32.78395994,2.31881,NA
Bouteloua gracilis,Bouteloua gracilis,Bouteloua,0.765593638,0.48468046,16.2560536,2.153333333,NA
Bouteloua curtipendula,Bouteloua curtipendula,Bouteloua,1.747189343,0.484094118,16.06369727,2.153333333,NA
Brachiaria villosa,Brachiaria villosa,Brachiaria,0.58,0.74265,14.70040937,1.0613525,NA
Brachiaria lata,Brachiaria lata,Brachiaria,1.73,0.74265,14.70040937,1.0613525,NA
Brachiaria deflexa,Brachiaria deflexa,Brachiaria,1.835269679,0.74265,22.89130435,1.0613525,NA
Brachiaria serrata,Brachiaria serrata,Brachiaria,1.835269679,0.74265,14.70040937,1.0613525,NA
Bredemeyera microphylla,Bredemeyera microphylla,Bredemeyera,NA,2.5,NA,NA,NA
Brickellia eupatorioides,Brickellia eupatorioides,Brickellia,0.280137931,0.895,16.62,1.4,NA
Bromus japonicus,Bromus japonicus,Bromus,2.370142857,0.396830769,23.49849928,1.759017156,0.0028361
Bromus tectorum,Bromus tectorum,Bromus,2.95280135,0.305435285,21.09526667,2.5675,0.0028361
Bromus inermis,Bromus inermis,Bromus,3.034028989,0.766667386,29.8140614,1.785822567,0.002860824
Bromus,Bromus,Bromus,4,0.552627008,18.65,1.759017156,0.0028361
Bromus ciliatus,Bromus ciliatus,Bromus,4.148515414,0.465418182,16.11636364,1.873333333,0.0028361
Buchnera americana,Buchnera americana,Buchnera,0.0172,0.272381818,NA,NA,NA
Buchnera simplex,Buchnera simplex,Buchnera,0.059776119,0.38104698,NA,NA,NA
Bulbostylis,Bulbostylis,Bulbostylis,0.1375,0.181795967,NA,NA,NA
Bulbostylis ciliatifolia,Bulbostylis ciliatifolia,Bulbostylis,0.1375,0.181795967,NA,NA,NA
Burchardia congesta,Burchardia congesta,Burchardia,1.83962,0.35,NA,NA,NA
Calamagrostis obtusata,Calamagrostis obtusata,Calamagrostis,0.227134532,0.60514237,16.98922616,1.487244942,NA
Callicarpa americana,Callicarpa americana,Callicarpa,4.632054561,1.6143,22.15142466,3.160408998,0.0254
Callirhoe involucrata,Callirhoe involucrata,Callirhoe,4.907832988,0.3048,30.28,NA,NA
Calytrix flavescens,Calytrix flavescens,Calytrix,1.512026316,2,7.94,0.3,NA
Campanula americana,Campanula americana,Campanula,0.217636175,1.9144,29.60333333,1.794545455,0.0018875
Campsis radicans,Campsis radicans,Campsis,3.881734715,5.3048,18.75,NA,NA
Canthium,Canthium,Canthium,112.9231579,7.98,19,2.245891,0.088388889
Cardamine concatenata,Cardamine concatenata,Cardamine,1.82475,0.4,48,2.05,0.0066
Carex brevior,Carex brevior,Carex,0.89,0.261352941,45.32,1.486310257,0.0013752
Carex rosea,Carex rosea,Carex,0.97,0.322726725,21.15965723,1.486310257,0.0013752
