"Site","FireFreq","BC_dissimilarity","SD","Vegetation","MAP","MAT","Seasonality","Aridity","Duration","Continent"
"Alapaha",0.342105263,0.73719097739841,0.0898898670889673,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Alapaha",0.394736842,0.772745010066702,0.0288584273922871,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Alapaha",0.552631579,0.711062741858912,0.0548887334168883,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Hitchiti",0,0.630434782608696,0.10825999650425,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"Hitchiti",0.368421053,0.889018983248997,0.111515258373674,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"Hitchiti",0.526315789,0.873674265596051,0.0477392570438986,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"KrugerSatara",0,0.437443562434461,0.0830420064082297,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",0.3333333,0.498308367467951,0.15161089009254,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",1,0.554000965296662,0.157906628028169,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"LaPampa",0,0.716803321892336,0.224243086051525,"Savanna",408,15.3028230667114,37.2326583862305,2215,18,"SAm"
"LaPampa",0.1764706,0.775524395367976,0.232847594734533,"Savanna",408,15.3028230667114,37.2326583862305,2215,18,"SAm"
"LaPampa",0.2941176,0.757067688009133,0.179460511000567,"Savanna",408,15.3028230667114,37.2326583862305,2215,18,"SAm"
"McCorkill",0,0.205882352941177,0,"Forest",894,15.9135522842407,79.5574493408203,5289,39,"Aus"
"McCorkill",0.1875,0.912228057014254,0.0805418716638028,"Forest",894,15.9135522842407,79.5574493408203,5289,39,"Aus"
"McCorkill",0.25,0.812129987129987,0.207011276543615,"Forest",894,15.9135522842407,79.5574493408203,5289,39,"Aus"
"Morton",0.333333333,0.5,NA,"Forest",943,9.78518772125244,29.7519588470459,7791,21,"NAm"
"Okmulgee",0.1052632,0.568732086455764,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.2105263,0.620131605115477,0.0386384247957372,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.2631579,0.703852707473174,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.3157895,0.700306066135934,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.3684211,0.496655924585915,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.5263158,0.547863164406595,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"TallTimbers",0,0.858499313823671,0.104988564452839,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",0.3138298,0.920694111095331,0.0466234230174612,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",0.3333333,0.880942218818055,0.0695550064722917,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",0.5,0.963606022520226,0.0259250007818909,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",1,0.977731939697563,0.0168170643752508,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"Tiogo",0,0.703199206334554,0.0884131796046506,"Savanna",734,28.1340942382812,118.634666442871,2995,12,"Afr"
"Tiogo",1,0.823790633858557,0.0858715235523978,"Savanna",734,28.1340942382812,118.634666442871,2995,12,"Afr"
"Ukulinga",0,0.701681614569423,0.0477406325945346,"Savanna",854,17.558500289917,63.948673248291,5332,60,"Afr"
"Ukulinga",0.333,0.821723785639924,0.153741787192658,"Savanna",854,17.558500289917,63.948673248291,5332,60,"Afr"
"Ukulinga",1,0.961595819006013,0.0315641634136208,"Savanna",854,17.558500289917,63.948673248291,5332,60,"Afr"
"UniversityMissouri",0,0.853479853479853,0,"Forest",1210,13.8540315628052,17.570650100708,8647,64,"NAm"
"UniversityMissouri",0.25,0.891442699128412,0.085258066442898,"Forest",1210,13.8540315628052,17.570650100708,8647,64,"NAm"
"UniversityMissouri",1,0.91148712188249,0.0665554929146896,"Forest",1210,13.8540315628052,17.570650100708,8647,64,"NAm"
"Yackelup",0,0.504225352112676,0,"Forest",696,14.9082708358765,64.3865051269531,4162,34,"Aus"
"Yackelup",0.08823529,0.839172508894137,0.0756862427479637,"Forest",696,14.9082708358765,64.3865051269531,4162,34,"Aus"
"Yackelup",0.2058824,0.582210363866814,0.266255854757794,"Forest",696,14.9082708358765,64.3865051269531,4162,34,"Aus"
