"Site","FireFreq","n","CV","logRR2","logRR2_v","Vegetation","MAP","MAT","Seasonality","Aridity","Duration","Continent"
"Alapaha",0.342105263,2,0.202030508910442,0.559615787935423,NA,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Alapaha",0.394736842,2,0.157134840263677,0.810930216216329,NA,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Alapaha",0.552631579,2,0.282842712474619,0.628608659422374,NA,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Hitchiti",0.368421053,7,0.265908011739155,0.538025885469667,0.233906908116041,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"Hitchiti",0.526315789,4,0.666666666666667,0.521150342838622,0.341038833429784,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"KrugerSatara",0.3333333,3,0.0866025403784439,-0.22329355131421,0.005307045,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",1,3,0.153846153846154,-0.245916586122957,0.0107245888218978,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"LaPampa",0.1764706,20,0.371107839326101,-0.350871307019977,0.00990013433530303,"Savanna",408,15.3028230667114,37.2326583862305,2215,18,"SAm"
"LaPampa",0.2941176,20,0.14764844152883,-0.0660872587212814,0.00408097123044521,"Savanna",408,15.3028230667114,37.2326583862305,2215,18,"SAm"
"McCorkill",0.1875,2,0,0.232126516896225,0.117283950617284,"Forest",894,15.9135522842407,79.5574493408203,5289,39,"Aus"
"McCorkill",0.25,2,0.471404520791032,0,0.234567901234568,"Forest",894,15.9135522842407,79.5574493408203,5289,39,"Aus"
"Morton",0.333333333,1,NA,0,NA,"Forest",943,9.78518772125244,29.7519588470459,7791,21,"NAm"
"Okmulgee",0.1052632,2,0.76149961050859,-0.836248024200619,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.2105263,2,0.0942809041582063,0,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.2631579,1,NA,0.125163142954006,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.3157895,1,NA,0.287682072451781,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.3684211,1,NA,0.0645385211375712,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.5263158,1,NA,0.0645385211375712,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"TallTimbers",0.3138298,3,0.215344758565462,1.08079663746494,0.105136885804446,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",0.3333333,3,0.264261581909799,1.04961545409231,0.113108621138622,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",0.5,3,0.13679330432704,1.22043608682067,0.0958165482285854,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",1,3,0.0869565217391304,1.24799147678767,0.0920832811448564,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"Tiogo",1,48,0.316241705653278,0.41792977160173,0.0055620684022953,"Savanna",734,28.1340942382812,118.634666442871,2995,12,"Afr"
"Ukulinga",0.333,3,0.288675134594813,0.106281299545272,0.0802341979226948,"Savanna",854,17.558500289917,63.948673248291,5332,60,"Afr"
"Ukulinga",1,3,0.0909090909090909,0.699905624695018,0.0548292331316168,"Savanna",854,17.558500289917,63.948673248291,5332,60,"Afr"
"UniversityMissouri",0.25,2,0.184462638570404,1.35456291975214,0.441957957554468,"Forest",1210,13.8540315628052,17.570650100708,8647,64,"NAm"
"UniversityMissouri",1,2,0.314269680527354,1.12562520348676,0.47540204237159,"Forest",1210,13.8540315628052,17.570650100708,8647,64,"NAm"
"Yackelup",0.08823529,2,0.202030508910442,0,0.0412328196584756,"Forest",696,14.9082708358765,64.3865051269531,4162,34,"Aus"
"Yackelup",0.2058824,2,0,0.346470862306079,0.0206164098292378,"Forest",696,14.9082708358765,64.3865051269531,4162,34,"Aus"
"Bauple",0.33,3,0.269563276173873,0,0.0490295853737383,"Forest",1240,20.3487606048584,45.9143218994141,6501,27,"Aus"
"Bauple",1,3,0.333333333333333,-0.629580974845077,0.0622377007801476,"Forest",1240,20.3487606048584,45.9143218994141,6501,27,"Aus"
"Cedar Creek",0.1,2,1.01015254455221,0.201506250226655,0.797780406312185,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.125,2,0.176776695296637,0.945754976472348,0.173169292534722,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.333,3,0.283863545381745,0.936187642182442,0.184642442835568,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.4,2,0.471404520791032,0.673987255872418,0.274706172839506,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.5,5,0.0909413072319647,1.21560194562759,0.159077654458742,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.667,1,NA,1.56861591791385,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.8,3,0.215344758565462,1.20959058986434,0.172999482179721,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.9,2,0,1.26160454092422,0.157422222222222,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Munmarlary (open forest)",0.5,1,NA,0.510825623765991,NA,"Savanna",1606,27.6277179718018,114.235580444336,7102,22,"Aus"
"Munmarlary (open forest)",1,2,0.0942809041582063,0.916290731874155,NA,"Savanna",1606,27.6277179718018,114.235580444336,7102,22,"Aus"
"Munmarlary (woodland)",0.5,1,NA,-0.154150679827258,NA,"Savanna",1606,27.6277179718018,114.235580444336,7102,24,"Aus"
"Munmarlary (woodland)",1,2,0.202030508910442,0,NA,"Savanna",1606,27.6277179718018,114.235580444336,7102,24,"Aus"
"Nylsvley",1,1,NA,0.893817876022097,NA,"Savanna",571,19.1336669921875,86.8071212768555,2831,12,"Afr"
"Solar Village",1,5,NA,-0.032024089750221,0.0490924661818179,"Savanna",1657,27.220386505127,107.342544555664,7262,23,"Afr"
"Solar Village",1,5,NA,-0.558117185647,0.0490924661818179,"Savanna",1657,27.220386505127,107.342544555664,7262,23,"Afr"
"Peachester North",0.5,3,0.140436552,-0.919212368530256,0.0210192843686812,"Forest",1501,19.8246669769287,48.7363090515137,9012,40,"Aus"
"Peachester North",0.25,3,0,-1.12523950766752,0.0144235329865033,"Forest",1501,19.8246669769287,48.7363090515137,9012,40,"Aus"
"Peachester South",0.5,3,0,-1.10815961376342,0.0144235329865033,"Forest",1501,19.8246669769287,48.7363090515137,9012,40,"Aus"
"Peachester South",0.25,3,0.225919671,-1.36431545440112,0.0315814906095235,"Forest",1501,19.8246669769287,48.7363090515137,9012,40,"Aus"
"Laba",1,4,0.215406592,0.105360515657826,0.0260908129554103,"Savanna",824,27.9752807617188,114.431114196777,3501,10,"Afr"
