"Site","FireFreq","BC_dissimilarity","SD","Vegetation","MAP","MAT","Seasonality","Aridity","Duration","Continent"
"Alapaha",0,0.291693663340676,0,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Alapaha",0.342105263,0.504221420877981,0.147146538572392,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Alapaha",0.394736842,0.442867600927319,0.0269661912061673,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Alapaha",0.552631579,0.430349826183932,0.0343481404622792,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Hitchiti",0,0.48521112137018,0.0914402371300404,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"Hitchiti",0.368421053,0.68806227651828,0.127783448375011,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"Hitchiti",0.526315789,0.671445639200262,0.0742400942659634,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"KrugerSatara",0,0.488395939121001,0.0789216197670696,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",0.3333333,0.558507494913433,0.109608005854733,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",1,0.61831394512321,0.107767546481008,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"LaPampa",0,0.730899239767724,0.210803398631736,"Savanna",408,15.3028230667114,37.2326583862305,2215,18,"SAm"
"LaPampa",0.1764706,0.784030219072801,0.222139384777517,"Savanna",408,15.3028230667114,37.2326583862305,2215,18,"SAm"
"LaPampa",0.2941176,0.770208722948989,0.169466571727718,"Savanna",408,15.3028230667114,37.2326583862305,2215,18,"SAm"
"McCorkill",0,0.531867672106902,0,"Forest",894,15.9135522842407,79.5574493408203,5289,39,"Aus"
"McCorkill",0.1875,0.638060475472953,0.0585093702540798,"Forest",894,15.9135522842407,79.5574493408203,5289,39,"Aus"
"McCorkill",0.25,0.597829103463147,0.113070857549193,"Forest",894,15.9135522842407,79.5574493408203,5289,39,"Aus"
"Morton",0,0.835440335157337,0,"Forest",943,9.78518772125244,29.7519588470459,7791,21,"NAm"
"Morton",0.333333333,0.794553601575181,0.0873655894209092,"Forest",943,9.78518772125244,29.7519588470459,7791,21,"NAm"
"Morton",1,0.754942723864756,0.0593872370655411,"Forest",943,9.78518772125244,29.7519588470459,7791,21,"NAm"
"Okmulgee",0.1052632,0.620722425056212,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.2105263,0.532628634288367,0.0333925248391698,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.2631579,0.655655418610193,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.3157895,0.628466555246496,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.3684211,0.544114279831179,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.5263158,0.560018605722437,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"TallTimbers",0,0.625917834943141,0.173524488246322,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",0.3138298,0.857728206417054,0.066780316515953,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",0.3333333,0.854931409221573,0.0682169018850032,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",0.5,0.930464553211704,0.02578927180804,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",1,0.953998143558372,0.0248523898389156,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"Tiogo",0,0.704061206947505,0.0884940125802599,"Savanna",734,28.1340942382812,118.634666442871,2995,12,"Afr"
"Tiogo",1,0.820879097827034,0.079682809588451,"Savanna",734,28.1340942382812,118.634666442871,2995,12,"Afr"
"Ukulinga",0,0.521681752622457,0.0255477895739185,"Savanna",854,17.558500289917,63.948673248291,5332,60,"Afr"
"Ukulinga",0.333,0.717620178856566,0.108942254556778,"Savanna",854,17.558500289917,63.948673248291,5332,60,"Afr"
"Ukulinga",1,0.933444835011512,0.0259860155320632,"Savanna",854,17.558500289917,63.948673248291,5332,60,"Afr"
"UniversityMissouri",0,0.694938547242568,0,"Forest",1210,13.8540315628052,17.570650100708,8647,64,"NAm"
"UniversityMissouri",0.25,0.746045483561686,0.076860168590642,"Forest",1210,13.8540315628052,17.570650100708,8647,64,"NAm"
"UniversityMissouri",1,0.90782904198742,0.061837087152719,"Forest",1210,13.8540315628052,17.570650100708,8647,64,"NAm"
"Yackelup",0,0.45,0,"Forest",696,14.9082708358765,64.3865051269531,4162,34,"Aus"
"Yackelup",0.08823529,0.636341094199963,0.106187682603621,"Forest",696,14.9082708358765,64.3865051269531,4162,34,"Aus"
"Yackelup",0.2058824,0.655549878467107,0.110830688331236,"Forest",696,14.9082708358765,64.3865051269531,4162,34,"Aus"
