"Site","FireFreq","meanS","meanH","meanJ","sdS","sdH","sdJ","n","cover","cover_adj","CV","CV_H","CV_J","RR_S","logRR","logRR2","logRR2_v","logRR_H","logRR_H2","logRR_H2_v","logRR_J","logRR_J2","logRR_J2_v","Vegetation","MAP","MAT","Seasonality","Aridity","Duration","Continent"
"Alapaha",0.342105263,27,2.29826271334028,0.698278645048735,4.24264068711928,0.159690201114262,0.0150507657970323,2,103.405,98.695,0.157134840263677,0.0694830056578559,0.0215540972128424,1.92857142857143,0.65677953638907,0.622136049364631,0.0973864849916152,0.542023464217236,0.536641688233647,0.0156811768058127,0.305072929474848,0.305187753637905,0.000234957763253111,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Alapaha",0.394736842,36.5,2.42840376321552,0.67543854747291,3.53553390593274,0.0824602979537282,0.00470994183187884,2,110.335,100,0.0968639426282942,0.0339565846515326,0.00697316114027049,2.60714285714286,0.958254930973187,0.919784260287949,0.0896669139775702,0.59710412266428,0.590803637072179,0.0138410102163122,0.271816881301435,0.271827716931898,2.69540143971155e-05,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Alapaha",0.552631579,29.5,2.21666186755857,0.663615735991894,10.6066017177982,0.114483961678246,0.0386353031420993,2,99.345,97.89,0.359545820942312,0.0516470118215813,0.058219389695984,2.10714285714286,0.745332933730516,0.736834906539174,0.151690141707038,0.505872369708755,0.499950475163879,0.0145989155073964,0.25415797253578,0.255004026256314,0.00169882598551524,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Hitchiti",0.368421053,33.7142857142857,2.60670218042476,0.748745160719251,9.21437799879959,0.263381253978244,0.0722439302403949,7,96.5441273364286,76.2735332024286,0.273307821998293,0.101040025192033,0.0964866740120186,1.83896103896104,0.609200759405936,0.620516874957674,0.0160312033390132,0.192030611992103,0.191518099923,0.0118450046200853,0.0133342480249517,0.0133928833384006,0.00832233897670078,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"Hitchiti",0.526315789,32.75,2.73881885981523,0.800646664600608,14.3845982448822,0.271767331514203,0.0419955853918728,4,71.17303252375,68.07967033025,0.439224373889531,0.0992279319752231,0.0524520831081233,1.78636363636364,0.5801820655169,0.610351602878961,0.0546957999140288,0.24147147639307,0.239237960401334,0.012850075363687,0.0803552936577543,0.0782011194669655,0.00767954234404564,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"KrugerSatara",0.3333333,57.3333333333333,2.86893239729149,0.708206186613363,8.14452781524708,0.374395753989736,0.0682313210036759,3,204.650743733667,100,0.142055717707798,0.130500026540603,0.0963438646730236,0.864321608040201,-0.145810347911039,-0.143292981656009,0.00844254030275319,-0.120232359471949,-0.117862485539806,0.00663030850083398,-0.0855140497579906,-0.0842455429805547,0.00365602165753215,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",1,43.3333333333333,2.68409658864534,0.717402156344409,8.32666399786453,0.16243172206541,0.0790391082292816,3,167.383591489,100,0.192153784566105,0.0605163475683225,0.110174060016815,0.653266331658292,-0.42577037426891,-0.420462466348947,0.0140767396434198,-0.186828127743153,-0.186686258578359,0.00215893131420946,-0.072612754213747,-0.0708682168962353,0.00461148166932803,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"LaPampa",0.1764706,5.6,0.838253847545346,0.471121914917212,1.84676103375328,0.552156613465886,0.281466498662124,20,16.315,16.315,0.329778756027371,0.658698573329265,0.597438772746508,0.817518248175182,-0.20148205453303,-0.19984421367471,0.00761684253884068,-0.374056283403527,-0.364855127377236,0.0252268061812313,-0.299005748134973,-0.291435087097989,0.0207148975914092,"Savanna",408,15.3028230667114,37.2326583862305,2215,18,"SAm"
"LaPampa",0.2941176,7.25,1.17643611696633,0.600658531065403,1.06992375527664,0.298010134367987,0.159753217744973,20,21.9475,21.9475,0.147575690382985,0.253316036519232,0.265963454246816,1.05839416058394,0.0567528165924496,0.0562162713623965,0.00325387894727812,-0.0351323512408772,-0.0351740651182905,0.00651089450055205,-0.0560960462468819,-0.0556802984145467,0.00625207422217885,"Savanna",408,15.3028230667114,37.2326583862305,2215,18,"SAm"
"McCorkill",0.1875,69.5,2.79511206673146,0.659046887407177,0.707106781186548,0.0800620764943632,0.0204577483386884,2,32.95,32.95,0.0101741982904539,0.0286436016098581,0.0310414156103115,1.31132075471698,0.271034839018625,0.253260788796053,0.0362852910259883,0.190256766328751,0.185714023753993,0.00995110948988443,0.122070265911218,0.121093016749195,0.0029211516029957,"Forest",894,15.9135522842407,79.5574493408203,5289,39,"Aus"
