"Site","FireFreq","meanSeed","meanHeight","meanN","meanP","meanStem","CV_Seed","CV_Height","CV_N","CV_P","CV_Stem","n","logRR_Seed1","logRR_Seed","logRR_v_Seed","logRR_Height1","logRR_Height","logRR_v_Height","logRR_N1","logRR_N","logRR_v_N","logRR_P1","logRR_P","logRR_v_P","logRR_Stem1","logRR_Stem","logRR_v_Stem","Vegetation","MAP","MAT","Seasonality","Aridity","Duration","Continent"
"Alapaha",0.342105263,1.05425818936424,0.0505952552526863,0.912225680646046,0.072670538997948,0.00769912266915999,0.842130070621173,0.356140981417662,0.184970401504163,0.0544689230391588,0.384313546972191,2,-1.31125332364516,-1.3178352567421,0.852836512826155,-0.761611600225322,-0.733993811020782,0.0736452318812208,-0.719830554571715,-0.780225532727917,0.164658119580755,-0.605625031423883,-0.676629729343133,0.15527245549068,-0.815713659470317,-0.832910279062059,0.190675070209444,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Alapaha",0.394736842,1.3952227483596,0.0352722990843778,0.765130684255957,0.0621643909325921,0.00635382305694743,0.560384444573505,0.137258018044148,0.0785067148838822,0.156175811632181,0.104154714064493,2,-1.03103662644245,-1.13640664207051,0.604719684013843,-1.12237147502153,-1.12175284459892,0.0176803474008723,-0.895671322552724,-0.963078986996614,0.150491170148015,-0.761778750324368,-0.827427443103137,0.166057729890342,-1.00776335481461,-1.05917214888748,0.11953863481789,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Alapaha",0.552631579,0.573907988706398,0.0498251620028353,0.904330156698029,0.0690931625618932,0.00774207896534191,0.579768079174884,0.480326908291407,0.376194172992258,0.272449804434811,0.401999962328371,2,-1.91937689914497,-2.01922183979549,0.617565930180803,-0.776949284882023,-0.723362110631571,0.130226683166622,-0.728523459579603,-0.762091436145626,0.220669359148288,-0.656105317110127,-0.709294506939496,0.191591112509501,-0.810149791059835,-0.82386964382016,0.198166287378797,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Hitchiti",0.368421053,1.15216341266017,0.150982050309592,0.869751539222323,0.100117244444219,0.000832480959860472,0.784201502793093,0.603907700835335,0.308850957723075,0.323307573797147,0.469501151949332,7,-0.765547304929671,-0.66412400343235,0.0967275566997339,-0.968243491424757,-0.912573263978123,0.0776073137068707,-0.628659522681989,-0.61313266498949,0.0154540446542153,-0.402145042635047,-0.386354164853943,0.022681604157507,-0.50736792472795,-0.491098211024846,0.132069422596719,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"Hitchiti",0.526315789,1.20411764260138,0.140750009956747,0.963205067097917,0.112690164109022,0.000943610024993483,0.927617466035729,0.332120409402402,0.280623517250528,0.3109417524194,0.607794033715684,4,-0.721441656495788,-0.579905350779745,0.243271861083208,-1.03841911129147,-1.02898436794866,0.0521056399254554,-0.52660077121,-0.514125610451002,0.0216153957936402,-0.283844844038544,-0.270583950310428,0.0321008893707139,-0.382065303607182,-0.356316845130531,0.196701388126218,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"KrugerSatara",0.3333333,0.0600950141977341,0.0144686111393209,0.571151199435117,0.062959088960188,0.00125248020808566,0.0657869484924644,0.0746283409468134,0.158999583178311,0.0360069861344856,0.249647194950146,3,-0.376382043526048,-0.377269640351233,0.0046666932141492,0.0321585562153353,0.0318642601562774,0.00430623067485613,0.223992525995888,0.226988659223586,0.010900115826835,0.11712167508646,0.116711832881553,0.00168489672809051,0.348601309914368,0.348464643888931,0.0422597786514504,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",1,0.0858856863177575,0.0175736792113448,0.718431015836604,0.0765366730195581,0.00118205380635004,0.555127525042612,0.165738388501363,0.286911668870726,0.25082334263162,0.372731944845997,3,-0.0192917400036963,0.0304604375824495,0.111221125557489,0.22657928557062,0.229934960203321,0.0116463687022196,0.453408243330888,0.465910616272471,0.0302535497657089,0.312406553059157,0.322266018547319,0.0224433056010506,0.290728997384527,0.303359894819457,0.0686514083089722,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"LaPampa",0.1764706,1.5530240159513,0.111691073709386,7.15088086783326,0.533485664141313,NA,1.19344465181684,1.03166837417566,1.11805350992365,0.983824161435143,NA,20,0.849502927069723,0.88157143821619,0.0808548680816562,0.425841058836885,0.447889279927034,0.0637951369391768,0.690434111760927,0.717237607609603,0.073390197030005,0.638832233353293,0.659787726481219,0.0560720984227095,NA,NA,NA,"Savanna",408,15.3028230667114,37.2326583862305,2215,18,"SAm"
"LaPampa",0.2941176,0.519168126468939,0.0555726396007906,2.78227868805799,0.247514887861985,0.000450049319822373,0.484672474345498,0.607134775298519,0.372643817685042,0.235137548800099,0.296970927239423,20,-0.246228586383028,-0.243895143475612,0.0189178842583384,-0.272204744341003,-0.267549698223291,0.0277626075166442,-0.253531171736818,-0.254507181792985,0.0159020276183811,-0.129129232512386,-0.130989247228656,0.00927384175515513,NA,NA,NA,"Savanna",408,15.3028230667114,37.2326583862305,2215,18,"SAm"
"McCorkill",0.1875,1.06208609776507,0.0958099473986003,0.251744425216411,0.0100064956974705,0.00474781808379272,0.492462337392725,0.0340177799190482,0.00420562072830445,0.105962052520082,0.411885699499058,2,-0.254929301245208,-0.211910580828268,0.16445395484205,-0.210836069716322,-0.262574517526845,0.110048045934314,-0.333886064401987,-0.361721900447565,0.0572395192910588,-0.264412579335873,-0.276130900901879,0.0351023273848056,-0.0646841636480774,-0.180845604960331,0.455861707837577,"Forest",894,15.9135522842407,79.5574493408203,5289,39,"Aus"
