"Site","FireFreq","n","CV","logRR2","logRR2_v","Vegetation","MAP","MAT","Seasonality","Aridity","Duration","Continent"
"Alapaha",0.342105263,2,0.14142135623731,0.501936734877102,0.0382135802469136,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Alapaha",0.394736842,2,0.077138921583987,0.816878069301421,0.0311432127856746,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Alapaha",0.552631579,2,0.385694607919935,0.629436997326055,0.105309950030398,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Hitchiti",0.368421053,7,0.278720819608785,0.628611060402749,0.0116122770031232,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"Hitchiti",0.526315789,4,0.40502237626749,0.616728905357631,0.0423045194037496,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"KrugerSatara",0.3333333,3,0.159090909090909,-0.117624230549105,0.00986953593037541,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",1,3,0.231552829733027,-0.484848847351626,0.019429254463921,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"LaPampa",0.1764706,19,0.477784036510243,0.211304841810915,0.0317685711173714,"Savanna",408,15.3028230667114,37.2326583862305,2215,18,"SAm"
"LaPampa",0.2941176,19,0.470140887635804,0.398315130251366,0.0313827396765297,"Savanna",408,15.3028230667114,37.2326583862305,2215,18,"SAm"
"McCorkill",0.1875,2,0.0104756560175785,0.253559368891179,0.0346615261124261,"Forest",894,15.9135522842407,79.5574493408203,5289,39,"Aus"
"McCorkill",0.25,2,0.0872971334798207,0.437758688221332,0.0384243092335841,"Forest",894,15.9135522842407,79.5574493408203,5289,39,"Aus"
"Morton",0.333333333,1,NA,0.78845736036427,NA,"Forest",943,9.78518772125244,29.7519588470459,7791,21,"NAm"
"Morton",1,1,NA,0.693147180559945,NA,"Forest",943,9.78518772125244,29.7519588470459,7791,21,"NAm"
"Okmulgee",0.1052632,2,0.967619805834223,-0.411296028418958,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.2105263,2,0.0140021144789415,0.160773220587752,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.2631579,1,NA,0.227783930870712,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.3157895,1,NA,0.443492503697404,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.3684211,1,NA,0.150822889734584,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.5263158,1,NA,0.281851152140988,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"TallTimbers",0.3138298,3,0.279936635424665,0.693175153422294,0.0423160042293921,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",0.3333333,3,0.219092895075665,0.753300662776949,0.0319819056644035,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",0.5,3,0.0813926681864941,0.731734317989469,0.0180640247320781,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",1,3,0.177508597319837,0.788651776584189,0.0264115893274985,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"Tiogo",1,46,0.672199264989074,0.803008707760784,0.0197182506498335,"Savanna",734,28.1340942382812,118.634666442871,2995,12,"Afr"
"Ukulinga",0.333,3,0.0732993634492306,0.163572855704583,0.0141549806073985,"Savanna",854,17.558500289917,63.948673248291,5332,60,"Afr"
"Ukulinga",1,3,0.140337033671874,0.019867184930047,0.0189488208153864,"Savanna",854,17.558500289917,63.948673248291,5332,60,"Afr"
"UniversityMissouri",0.25,2,0.015206597444872,0.838777849190782,0.0101656269869524,"Forest",1210,13.8540315628052,17.570650100708,8647,64,"NAm"
"UniversityMissouri",1,2,0.090268950789772,0.851452449025239,0.0141325414612144,"Forest",1210,13.8540315628052,17.570650100708,8647,64,"NAm"
"Yackelup",0.08823529,2,0.149992347524419,0.26037779528111,0.0174825210496268,"Forest",696,14.9082708358765,64.3865051269531,4162,34,"Aus"
"Yackelup",0.2058824,2,0.0207972582701926,0.284714463839709,0.00638668691486402,"Forest",696,14.9082708358765,64.3865051269531,4162,34,"Aus"
"Cedar Creek",0.1,2,0.294627825494395,-0.132078941801361,0.07584648907797,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.125,2,0.192053693655605,0.38700912410412,0.0501141807747239,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.333,3,0.435889894354067,0.115174481432116,0.0968406996296676,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.4,2,0.091239584669232,0.117314357857094,0.0356728041453683,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.5,5,0.225635316923343,0.281506462502399,0.0417359091911012,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.667,1,NA,0.490364551894651,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.8,3,0.0618589574131742,0.0306671541628518,0.0327781344080007,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.9,2,0.0217571317288168,0.163912968621844,0.031738525141535,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Nylsvley",1,1,NA,0,NA,"Savanna",571,19.1336669921875,86.8071212768555,2831,12,"Afr"
"Solar Village",1,5,NA,0.903654858805374,0.0828283107943533,"Savanna",1657,27.220386505127,107.342544555664,7262,23,"Afr"
"Solar Village",1,5,NA,0.308947751058682,0.0828283107943533,"Savanna",1657,27.220386505127,107.342544555664,7262,23,"Afr"
"Peachester North",0.5,3,0.272165526975909,-0.329351007749139,0.0700494174269841,"Forest",1501,19.8246669769287,48.7363090515137,9012,40,"Aus"
"Peachester North",0.25,3,0.329772648956823,-0.562151944960216,0.0819602590717409,"Forest",1501,19.8246669769287,48.7363090515137,9012,40,"Aus"
"Peachester South",0.5,3,0.595119035711904,-0.650093225361957,0.170077340476062,"Forest",1501,19.8246669769287,48.7363090515137,9012,40,"Aus"
"Peachester South",0.25,3,0.374804839955556,-0.814508037564213,0.0929757980719031,"Forest",1501,19.8246669769287,48.7363090515137,9012,40,"Aus"
"Laba",1,4,0.419912527334259,0,0.0901064556434819,"Savanna",824,27.9752807617188,114.431114196777,3501,10,"Afr"
