"Site","FireFreq","BC_dissimilarity","SD","Vegetation","MAP","MAT","Seasonality","Aridity","Duration","Continent"
"Alapaha",0,0.270421783235451,0,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Alapaha",0.342105263,0.445753061481296,0.121402722393333,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Alapaha",0.394736842,0.334139474973203,0.0450806718149169,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Alapaha",0.552631579,0.3732918105987,0.0395730029378453,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Hitchiti",0,0.466883676768906,0.107232600080275,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"Hitchiti",0.368421053,0.588178800434013,0.131945102527179,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"Hitchiti",0.526315789,0.608100000360554,0.101244260971945,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"KrugerSatara",0,0.598676076117963,0.0619231481035935,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",0.3333333,0.669126887566509,0.0688398710315153,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",1,0.741131124689205,0.0757967167452026,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"LaPampa",0,0.873952608441539,0.222835991428572,"Savanna",408,15.3028230667114,37.2326583862305,2215,18,"SAm"
"LaPampa",0.1764706,0.931518783524098,0.168255844266446,"Savanna",408,15.3028230667114,37.2326583862305,2215,18,"SAm"
"LaPampa",0.2941176,0.90827409349298,0.192004047697545,"Savanna",408,15.3028230667114,37.2326583862305,2215,18,"SAm"
"McCorkill",0,0.534120121818621,0,"Forest",894,15.9135522842407,79.5574493408203,5289,39,"Aus"
"McCorkill",0.1875,0.636800783456955,0.0582194938850051,"Forest",894,15.9135522842407,79.5574493408203,5289,39,"Aus"
"McCorkill",0.25,0.596364421177041,0.113909666875232,"Forest",894,15.9135522842407,79.5574493408203,5289,39,"Aus"
"Morton",0,0.831533086600758,0,"Forest",943,9.78518772125244,29.7519588470459,7791,21,"NAm"
"Morton",0.333333333,0.796034023451498,0.0739269317134646,"Forest",943,9.78518772125244,29.7519588470459,7791,21,"NAm"
"Morton",1,0.753075077719168,0.0620284875743447,"Forest",943,9.78518772125244,29.7519588470459,7791,21,"NAm"
"Okmulgee",0.1052632,0.634626367053396,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.2105263,0.487964380743284,0.0307663797317612,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.2631579,0.629504826769863,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.3157895,0.590345659998448,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.3684211,0.563907068035421,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.5263158,0.565299642066136,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"TallTimbers",0,0.612881862032004,0.170925881555631,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",0.3138298,0.848566068243085,0.0766660996786007,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",0.3333333,0.851135157767078,0.0720134855015178,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",0.5,0.917216283925753,0.0283707149731927,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",1,0.939678004523717,0.026501335410445,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"Tiogo",0,0.729114137922189,0.224218642276811,"Savanna",734,28.1340942382812,118.634666442871,2995,12,"Afr"
"Tiogo",1,0.812224849429435,0.0577739006899169,"Savanna",734,28.1340942382812,118.634666442871,2995,12,"Afr"
"Ukulinga",0,0.492476115924151,0.030797116759318,"Savanna",854,17.558500289917,63.948673248291,5332,60,"Afr"
"Ukulinga",0.333,0.704066018737197,0.133972679838798,"Savanna",854,17.558500289917,63.948673248291,5332,60,"Afr"
"Ukulinga",1,0.917484816606269,0.0431909336166374,"Savanna",854,17.558500289917,63.948673248291,5332,60,"Afr"
"UniversityMissouri",0,0.690456587552922,0,"Forest",1210,13.8540315628052,17.570650100708,8647,64,"NAm"
"UniversityMissouri",0.25,0.728859082958897,0.0874829711603799,"Forest",1210,13.8540315628052,17.570650100708,8647,64,"NAm"
"UniversityMissouri",1,0.906732044062332,0.0637602685667439,"Forest",1210,13.8540315628052,17.570650100708,8647,64,"NAm"
"Yackelup",0,0.447741935483871,0,"Forest",696,14.9082708358765,64.3865051269531,4162,34,"Aus"
"Yackelup",0.08823529,0.631153290161098,0.111658071004988,"Forest",696,14.9082708358765,64.3865051269531,4162,34,"Aus"
"Yackelup",0.2058824,0.658635592103999,0.114532948467486,"Forest",696,14.9082708358765,64.3865051269531,4162,34,"Aus"
