"Site","FireFreq","BC_dissimilarity","SD","Vegetation","MAP","MAT","Seasonality","Aridity","Duration","Continent"
"Alapaha",0,0.0682148040638607,0,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Alapaha",0.342105263,0.334917903334276,0.232504350643445,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Alapaha",0.394736842,0.180789054361519,0.0433525477158505,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Alapaha",0.552631579,0.0799793219575864,0.0420635045512604,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Bauple",0,0.490403811553083,0.181722822352591,"Forest",1240,20.3487606048584,45.9143218994141,6501,27,"Aus"
"Bauple",0.35,0.485946688470648,0.209843172213405,"Forest",1240,20.3487606048584,45.9143218994141,6501,27,"Aus"
"Bauple",0.89,0.484242866592272,0.148057679388623,"Forest",1240,20.3487606048584,45.9143218994141,6501,27,"Aus"
"Cedar Creek",0,0.531348416224354,0.275100203960112,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.043478261,0.718439856002547,0.0596774204172233,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.1,0.646640876211062,0.101372530490998,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.119047619,0.542568394199114,0.232182586170908,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.12195122,0.848636208064538,0.0449293692438024,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.145833333,0.717284770838155,0.0467127241176464,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.229166667,0.625530269124304,0.0173526560935834,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.363636364,0.810362077189491,0.0667547136306331,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.395348837,0.834816750863323,0.0422531021769273,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.488888889,0.774777071065262,0.0869262204524433,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.543478261,0.900208262338844,0.0403988654054458,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.581395349,0.921291212522489,0.0535020433387065,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.681818182,0.804324139945167,0.0406818546591514,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.785714286,0.904189279784611,0.0323328593842238,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.8,0.916093310876414,0.0419816538596825,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.822222222,0.941578904994381,0.0283880077710499,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"HighlandRim",0,0.527924750179217,NA,"Savanna",1479,14.28684425354,15.8351736068726,10848,42,"NAm"
"HighlandRim",0.2,0.891829689305137,NA,"Savanna",1479,14.28684425354,15.8351736068726,10848,42,"NAm"
"HighlandRim",1,0.819623389506387,NA,"Savanna",1479,14.28684425354,15.8351736068726,10848,42,"NAm"
"Hitchiti",0,0.464526415949727,0.0804862167227556,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"Hitchiti",0.176470588,0.415530784675206,0.0980665951336319,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"Hitchiti",0.352941176,0.421975988497197,0.083149767041137,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"Hitchiti",0.388888889,0.403709167805262,0.0840641614035443,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"Hitchiti",0.555555556,0.431281085651179,0.0831715576099257,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"Kisatchie",0,0.622125690290624,0.247389113711605,"Savanna",1578,18.9897193908691,11.6898107528687,10267,37,"NAm"
"Kisatchie",0.527027027,0.675068857722633,0.232760526018885,"Savanna",1578,18.9897193908691,11.6898107528687,10267,37,"NAm"
"KrugerMopani",0,0.440933254260966,0.260819714068736,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerMopani",0.1666667,0.575790316870929,0.243060822072849,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerMopani",0.25,0.41670244070235,0.120663890123493,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerMopani",0.3333333,0.522789254161865,0.0727916177089439,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerMopani",0.5,0.443203538192178,0.372373101074292,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerMopani",1,0.496384663944803,0.262484357003096,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerPretoriuskop",0,0.385184861842876,0.209241013136814,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerPretoriuskop",0.3333333,0.489142569021971,0.129281802339311,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerPretoriuskop",0.5,0.518528841308076,0.0893008469715452,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerPretoriuskop",1,0.580147239915231,0.102394647878408,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",0,0.646230410318665,0.175181977150813,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",0.1666667,0.70470343835444,0.102474409074154,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",0.25,0.668000156464971,0.142067002000665,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",0.3333333,0.642808350568412,0.123772144666101,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",0.5,0.664572728850813,0.0847814315557263,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",1,0.686137012004613,0.0820726092433396,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSkukuza",0,0.482049901296212,0.178881953903909,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSkukuza",0.3333333,0.65451828326299,0.0410300863656587,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSkukuza",0.5,0.617856920043174,0.0613218346071013,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSkukuza",1,0.616331750569605,0.103411489486712,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"LaPampa",0,0.339392754756339,0,"Savanna",408,15.3028230667114,37.2326583862305,2215,18,"SAm"
"LaPampa",0.1666667,0.408914377808293,0.176752397681499,"Savanna",408,15.3028230667114,37.2326583862305,2215,18,"SAm"
"LaPampa",0.2777778,0.287072873011865,0.0279760078957597,"Savanna",408,15.3028230667114,37.2326583862305,2215,18,"SAm"
"Lamto",0,0.185792349726776,NA,"Savanna",2137,26.3497085571289,67.2066345214844,15065,36,"Afr"
"Lamto",0.05555556,0.687374749498998,NA,"Savanna",2137,26.3497085571289,67.2066345214844,15065,36,"Afr"
"Lamto",0.08823529,0.796423658872077,NA,"Savanna",2137,26.3497085571289,67.2066345214844,15065,36,"Afr"
"Lamto",0.9166667,0.981308411214953,NA,"Savanna",2137,26.3497085571289,67.2066345214844,15065,36,"Afr"
"Lamto",0.9444444,0.982494529540481,NA,"Savanna",2137,26.3497085571289,67.2066345214844,15065,36,"Afr"
"Lamto",1,0.965922199911824,0.0327356870435039,"Savanna",2137,26.3497085571289,67.2066345214844,15065,36,"Afr"
"Marondera",0,0.0514705882885279,0,"Savanna",802,17.824104309082,103.266510009766,4253,54,"Afr"
"Marondera",0.25,0.552519705128398,0.267668327979736,"Savanna",802,17.824104309082,103.266510009766,4253,54,"Afr"
"Marondera",0.33,0.692089262511626,0.238915163551043,"Savanna",802,17.824104309082,103.266510009766,4253,54,"Afr"
"Marondera",0.5,0.88580574336898,0.0770734449095955,"Savanna",802,17.824104309082,103.266510009766,4253,54,"Afr"
"Marondera",1,1,0,"Savanna",802,17.824104309082,103.266510009766,4253,54,"Afr"
"Morton",0,0.990066225165751,0,"Forest",943,9.78518772125244,29.7519588470459,7791,21,"NAm"
"Morton",0.333333333,0.967391304346267,0.0461156596448065,"Forest",943,9.78518772125244,29.7519588470459,7791,21,"NAm"
"Morton",1,0.896956128593335,0.0888900344105181,"Forest",943,9.78518772125244,29.7519588470459,7791,21,"NAm"
"Peachester North",0,0.363725490196078,0,"Forest",1501,19.8246669769287,48.7363090515137,9012,40,"Aus"
"Peachester North",0.210526316,0.554449261520894,0.0843676807901791,"Forest",1501,19.8246669769287,48.7363090515137,9012,40,"Aus"
"Peachester North",0.447368421,0.517985129617098,0.0876532428659224,"Forest",1501,19.8246669769287,48.7363090515137,9012,40,"Aus"
"TallTimbers",0,0.439115295854976,0.0788959058889918,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
