"Site","FireFreq","n","CV","logRR2","logRR2_v","Vegetation","MAP","MAT","Seasonality","Aridity","Duration","Continent"
"Alapaha",0.342105263,2,0,0,0,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Alapaha",0.394736842,2,0,0,0,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Alapaha",0.552631579,2,0,0,0,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Bauple",0.35,6,0,0,0,"Forest",1240,20.3487606048584,45.9143218994141,6501,27,"Aus"
"Bauple",0.89,6,0,0,0,"Forest",1240,20.3487606048584,45.9143218994141,6501,27,"Aus"
"Cedar Creek",0.043478261,1,NA,-0.587786664902119,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.1,2,0.0744322927564787,0.0272128045266624,0.0404968278759689,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.119047619,1,NA,-0.587786664902119,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.12195122,1,NA,-0.587786664902119,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.145833333,1,NA,-1.50407739677627,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.229166667,1,NA,-0.587786664902119,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.363636364,1,NA,-1.50407739677627,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.395348837,1,NA,-1.09861228866811,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.488888889,1,NA,-1.50407739677627,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.543478261,1,NA,-1.50407739677627,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.581395349,1,NA,-1.09861228866811,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.681818182,1,NA,-1.50407739677627,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.785714286,2,0,-1.12639006644589,0.0377229080932785,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.8,2,0,-1.53185517455405,0.0377229080932785,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.822222222,1,NA,-1.50407739677627,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"HighlandRim",0.2,1,NA,-0.22314355131421,NA,"Savanna",1479,14.28684425354,15.8351736068726,10848,42,"NAm"
"HighlandRim",1,1,NA,-0.356674943938732,NA,"Savanna",1479,14.28684425354,15.8351736068726,10848,42,"NAm"
"Hitchiti",0.176470588,4,0.239714138660362,-0.101320988169141,0.0262367270764419,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"Hitchiti",0.352941176,4,0.181818181818182,-0.218781966476137,0.0200664365772628,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"Hitchiti",0.388888889,8,0.205671858345214,-0.0349086269544689,0.0170694166907497,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"Hitchiti",0.555555556,4,0.0952380952380952,0.0193816457838652,0.014037967735956,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"Kisatchie",0.527027027,12,0,-1.79407428404287,0.0139853395061728,"Savanna",1578,18.9897193908691,11.6898107528687,10267,37,"NAm"
"KrugerMopani",0.1666667,4,0.166509062218494,-0.264459729480118,0.0114096595152071,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerMopani",0.25,4,0.36056560925716,-0.342646221338581,0.0374843970476408,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerMopani",0.3333333,20,0.248759700525227,-0.26714611657053,0.00755317705074403,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerMopani",0.5,20,0.33924720240917,-0.30534577326875,0.0102253109556019,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerMopani",1,4,0.302875111776015,-0.17307711234951,0.0276506232098765,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerPretoriuskop",0.3333333,20,0.230066496855415,-0.219148010596907,0.0117610322414143,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerPretoriuskop",0.5,20,0.182748615045862,-0.251182810828484,0.0107822475523283,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerPretoriuskop",1,4,0.0626724817489884,-0.296302694117511,0.0100934426479147,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",0.1666667,4,0.117647058823529,-0.226303909329118,0.00542122647945021,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",0.25,4,0.266935658257021,-0.219127182429207,0.0199273570273658,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",0.3333333,20,0.277155431845328,-0.0418867152123793,0.00580316472460068,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",0.5,20,0.224489800291087,-0.00331507561215013,0.00447799052486762,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",1,4,0.111988532961307,-0.0474181027470074,0.00509530546185304,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSkukuza",0.3333333,20,0.165429521997569,-0.30890571432582,0.0064039168454171,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSkukuza",0.5,20,0.196014262037554,-0.249113119147683,0.00695755914156791,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSkukuza",1,4,0.210537231685814,-0.370830039932004,0.016177515419544,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"LaPampa",0.1666667,2,0.0565685424949238,-0.112528685307003,0.00160128,"Savanna",408,15.3028230667114,37.2326583862305,2215,18,"SAm"
"LaPampa",0.2777778,2,0.101015254455221,0.00255102040816327,0.00511505622657226,"Savanna",408,15.3028230667114,37.2326583862305,2215,18,"SAm"
"Lamto",0.05555556,1,NA,-0.103184236235231,NA,"Savanna",2137,26.3497085571289,67.2066345214844,15065,36,"Afr"
"Lamto",0.08823529,1,NA,-0.194156014440958,NA,"Savanna",2137,26.3497085571289,67.2066345214844,15065,36,"Afr"
"Lamto",0.9166667,1,NA,-1.29276830310907,NA,"Savanna",2137,26.3497085571289,67.2066345214844,15065,36,"Afr"
"Lamto",0.9444444,1,NA,-1.85238409104449,NA,"Savanna",2137,26.3497085571289,67.2066345214844,15065,36,"Afr"
"Lamto",1,3,0.610285981808395,-1.29276830310907,NA,"Savanna",2137,26.3497085571289,67.2066345214844,15065,36,"Afr"
"Marondera",0.25,7,0.379832451536972,0.535448836152867,0.0616227784367961,"Savanna",802,17.824104309082,103.266510009766,4253,54,"Afr"
"Marondera",0.33,6,0.469476477861571,0.384907610770873,0.0782094127446897,"Savanna",802,17.824104309082,103.266510009766,4253,54,"Afr"
"Marondera",0.5,4,0.408248290463863,-0.191476884647543,0.0833347222222222,"Savanna",802,17.824104309082,103.266510009766,4253,54,"Afr"
"Marondera",1,2,0,-0.936290731874155,0.0408,"Savanna",802,17.824104309082,103.266510009766,4253,54,"Afr"
"Morton",0.333333333,1,NA,0,NA,"Forest",943,9.78518772125244,29.7519588470459,7791,21,"NAm"
"Morton",1,1,NA,0.405465108108164,NA,"Forest",943,9.78518772125244,29.7519588470459,7791,21,"NAm"
"Peachester North",0.210526316,2,0,-0.287682072451781,0,"Forest",1501,19.8246669769287,48.7363090515137,9012,40,"Aus"
"Peachester North",0.447368421,2,0.202030508910442,-0.12332731099187,0.0206164098292378,"Forest",1501,19.8246669769287,48.7363090515137,9012,40,"Aus"
"TallTimbers",0.5,4,0,-1.3703278341546,0.0320624965635745,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"UniversityMissouri",0.25,4,0.485071250072666,-0.359184049439436,0.0664375087735486,"Forest",1210,13.8540315628052,17.570650100708,8647,64,"NAm"
"UniversityMissouri",1,4,0,-0.226076884647543,0.00588387555555556,"Forest",1210,13.8540315628052,17.570650100708,8647,64,"NAm"
"Munmarlary (open forest)",0.5,1,NA,-0.129211731480006,NA,"Savanna",1606,27.6277179718018,114.235580444336,7102,22,"Aus"
"Munmarlary (open forest)",1,2,0.0543928293220421,-0.238411023444998,NA,"Savanna",1606,27.6277179718018,114.235580444336,7102,22,"Aus"
"Munmarlary (woodland)",0.5,1,NA,-0.287682072451781,NA,"Savanna",1606,27.6277179718018,114.235580444336,7102,24,"Aus"
"Munmarlary (woodland)",1,2,0.0673435029701474,-0.238891908282349,NA,"Savanna",1606,27.6277179718018,114.235580444336,7102,24,"Aus"
"Ukulinga",0.33,3,0.866025403784439,-3.0964758248682,0.28646352,"Savanna",854,17.558500289917,63.948673248291,5332,60,"Afr"
"Ukulinga",1,3,0.866025403784439,-3.0964758248682,0.28646352,"Savanna",854,17.558500289917,63.948673248291,5332,60,"Afr"
"Tanguro",1,3,0.173574388,-1.49126641207172,NA,"Forest",1574,24.9010524749756,84.3869018554688,10075,6,"SAm"
"Solar Village",1,5,NA,-0.468120794467815,0.0150114864440208,"Savanna",1657,27.220386505127,107.342544555664,7262,23,"Afr"
"Solar Village",1,5,NA,-0.379828187322137,0.0150114864440208,"Savanna",1657,27.220386505127,107.342544555664,7262,23,"Afr"
