"Site","FireFreq","meanSeed","meanHeight","meanN","meanLMA","meanDensity","CV_Seed","CV_Height","CV_N","CV_LMA","CV_Density","n","logRR_Seed1","logRR_Seed","logRR_v_Seed","logRR_Height1","logRR_Height","logRR_v_Height","logRR_N1","logRR_N","logRR_v_N","logRR_LMA1","logRR_LMA","logRR_v_LMA","logRR_Density1","logRR_Density","logRR_v_Density","Vegetation","MAP","MAT","Seasonality","Aridity","Duration","Continent"
"Alapaha",0.342105263,95.28951451,35.63333333,8.75,279.8299596,0.593333333,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Alapaha",0.394736842,95.28951451,35.63333333,8.75,279.8299596,0.593333333,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Alapaha",0.552631579,95.28951451,35.63333333,8.75,279.8299596,0.593333333,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Savanna",1209,18.9953956604004,25.6424427032471,7520,38,"NAm"
"Bauple",0.35,1.08549964308953,6.47937765142161,3.48291291501346,49.3729808748012,0.216055985868053,0.0987793021276998,0.191081677568588,0.0555522900020529,0.101723596110047,0.0150300657436278,6,0.157273780134159,0.150954170745018,0.015994742702932,-0.166954515635575,-0.168388565089644,0.0150974328777168,-0.0111506422465607,-0.0112308139844435,0.00118938899232423,-0.0492926918935032,-0.0494564970799009,0.0037804333375917,8.90329438318735e-05,6.00453144433572e-05,0.000133281498449821,"Forest",1240,20.3487606048584,45.9143218994141,6501,27,"Aus"
"Bauple",0.89,0.876926565734401,7.39517543655731,3.61480313619412,51.6488976951067,0.215890570711783,0.247834147925558,0.187214214868478,0.0392546481545611,0.132242705602398,0.0240685711702058,6,-0.0560986250037228,-0.0581128665304344,0.0246565538071154,-0.0347511603864528,-0.0363071302783217,0.014852137869861,0.0260177661929043,0.0258088336614604,0.000931768109506324,-0.00422716708367652,-0.00379593533845067,0.00497326775797554,-0.000676872753696165,-0.000676410946258224,0.000192184324212222,"Forest",1240,20.3487606048584,45.9143218994141,6501,27,"Aus"
"Cedar Creek",0.043478261,790.39778688419,5.38520681227899,4.3094890510829,15.1956204379129,0.130184599092892,NA,NA,NA,NA,NA,1,1.5999407168945,1.5999407168945,NA,0.662067432925685,0.662067432925685,NA,0.62253838327791,0.62253838327791,NA,0.660470555099932,0.660470555099932,NA,0.589804794663362,0.589804794663362,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.1,158.178463562012,2.88503788615997,2.561157017656,8.86786303111828,0.0753666575006723,0.17031089996327,0.0903103672486489,0.0201873714079944,0.0479530114426649,0.0618218479753177,2,-0.00887171772180722,-0.0624924223900801,0.095585397539935,0.0379497497950374,-0.0198497058096963,0.0860755722555167,0.102178152232731,0.068612283687606,0.0460543787666125,0.121897144188686,0.0866116729004665,0.0498395953519957,0.043216327419352,0.00609928335344768,0.0535185016098178,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.119047619,223.240824708293,2.96959234057108,2.69545773456371,9.02310086774093,0.0820209121247708,NA,NA,NA,NA,NA,1,0.335655490640442,0.335655490640442,NA,0.0668364021301016,0.0668364021301016,NA,0.153287071610586,0.153287071610586,NA,0.13925134975774,0.13925134975774,NA,0.127825599084735,0.127825599084735,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.12195122,203.533175391581,2.64662706165275,2.63411054818794,9.15780756832693,0.0837353033597089,NA,NA,NA,NA,NA,1,0.243233386092387,0.243233386092387,NA,-0.0483022598287236,-0.0483022598287236,NA,0.130264607962235,0.130264607962235,NA,0.154070099451245,0.154070099451245,NA,0.148512031456451,0.148512031456451,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.145833333,790.798045949144,7.56016558420912,7.0547988071628,24.8858618953179,0.227273681112929,NA,NA,NA,NA,NA,1,1.60044699077303,1.60044699077303,NA,1.0013048104281,1.0013048104281,NA,1.11542710295497,1.11542710295497,NA,1.15376314469461,1.15376314469461,NA,1.14700629336823,1.14700629336823,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
