oldspec,WoodDensity (g/cm3),LMA,LeafNitrogen,MaxHeight,DrySeedMass(mg),MaxTrunkDiameter,Serotiny,reseedtime,reseedsite,Btat20,RootResprout,Adventitious bud,Sites,Symbiosis,FireTolerance,DroughtTolerance,C:Ngreen_observed,C:Nsenes_observed,C:Nroots_observed,C:Pgreen_observed,C:Psenes_observed,C:Proots_observed,Barkat10cm
Abies amabilis,0.41,107.2,10.8,60,36.43,1,0,1,NA,9.854662155,0,NA,All forest,NA,0,1,NA,NA,NA,NA,NA,NA,NA
Abies concolor,0.397562963,210,12.79011111,44,34,1.65,0,0,0,10.32287877,0,NA,Mixed,ecto,3,NA,34.0661134,634.4827586,28.75,278.1201496,6571.428571,391.8847614,12.192
Abies grandis,0.428149445,91,14.9,57,21,2,0,0,0,9.21391731,0,NA,>90% forest,NA,3,2,NA,NA,NA,NA,NA,NA,NA
Abies lasiocarpa,0.345094235,260,13.89414423,27,11,1,0,0,1,9.114589848,0,NA,All forest,NA,1,1,NA,NA,NA,NA,NA,NA,NA
Abies magnifica,0.4,13,13.09606384,43,83.2805008,0.75,0,1,NA,11.72664812,0,NA,All forest,ecto,1,1,18.88398392,NA,28.75,426.2797397,NA,391.8847614,9.906
Abies procera,0.385,76,13.09606384,60,33,1.31,0,0,0,9.41337462,0,NA,All forest,NA,1,1,NA,NA,NA,NA,NA,NA,NA
Acacia burkei,0.636411111,92.51885,20,25,130,0.881,NA,NA,NA,NA,NA,NA,NA,nfix,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia exuvialis,0.636411111,92.51885,27,16.78666667,82.58576157,0.881,NA,NA,NA,NA,NA,NA,NA,ecto,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia gerrardii,0.7749,156.7445826,27,16.78666667,74.429,0.881,NA,NA,NA,NA,NA,NA,NA,nfix,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia karroo,0.6888,101.7035342,27,16.78666667,28.7275,0.881,NA,NA,NA,NA,NA,NA,NA,nfix,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia nigrescens,0.636411111,78,30,18,190,0.75,NA,NA,NA,NA,NA,NA,NA,nfix,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia senegal,0.636411111,112.8923007,27,16.78666667,73.92222222,0.881,NA,NA,NA,NA,NA,NA,NA,nfix,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia sieberiana,0.636411111,92.51885,27,25,267.7066667,1.8,NA,NA,NA,NA,NA,NA,NA,ecto,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia swazica,0.636411111,92.51885,27,16.78666667,82.58576157,0.881,NA,NA,NA,NA,NA,NA,NA,ecto,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia tortilis,0.636411111,47.29153246,27,16.78666667,47.24375,0.881,NA,NA,NA,NA,NA,NA,NA,nfix,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia welwitschii,0.636411111,92.51885,27,15,82.58576157,0.881,NA,NA,NA,NA,NA,NA,NA,ecto,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acer circinatum,0.609,17,23.84587094,8.5,77,0.01108,NA,NA,NA,4.1072308,1,NA,>90% forest,NA,2,1,NA,NA,NA,NA,NA,NA,NA
Acer grandidentatum,0.609,62,23.84587094,13,62,0.35,NA,0,0,4.1072308,1,1,Mixed,NA,2,1,NA,NA,NA,NA,NA,NA,NA
Acer macrophyllum,0.46,34,26.2,24,130,0.39,NA,NA,NA,6.47056364,1,NA,All forest,NA,3,1,NA,NA,NA,NA,NA,NA,NA
