,Species,Pathway
1,Agrostis hyemalis,C3
2,Agrostis NA,C3
3,Agrostis scabra,C3
4,Aira cupaniana,C3
5,Amphipogon amphipogonoides,C3
6,Andropogon chinensis,C4
7,Andropogon fastigiatus,C4
8,Andropogon gayanus,C4
9,Andropogon gerardii,C4
10,Andropogon glomeratus,C4
11,Andropogon gyrans,C4
12,Andropogon NA,C4
13,Andropogon pseudapricus,C4
14,Andropogon ternarius,C4
15,Andropogon virginicus,C4
16,Anthaenantia villosa,C4
17,Aristida adscensionis,C4
18,Aristida arizonica,C4
19,Aristida congesta,C4
20,Aristida junciformis,C4
21,Aristida purpurascens,C4
22,Aristida stricta,C4
23,Avena NA,C3
24,Blepharoneuron tricholepis,C4
25,Bothriochloa radicans,C4
26,Bouteloua curtipendula,C4
27,Brachiaria deflexa,C4
28,Brachiaria lata,C4
29,Brachiaria serrata,C4
30,Brachiaria villosa,C4
31,Bromus ciliatus,C3
32,Bromus inermis,C3
33,Bromus japonicus,C3
34,Bromus NA,C3
35,Bromus tectorum,C3
36,Calamagrostis obtusata,C3
37,Cenchrus ciliaris,C4
38,Chasmanthium latifolium,C3
39,Chasmanthium laxum,C3
40,Chasmopodium caudatum,C4
41,Chloris virgata,C4
42,Chondrosum gracile,C4
43,Coelorachis cylindrica,C4
44,Ctenium aromaticum,C4
45,Cymbopogon caesius,C4
46,Cymbopogon nardus,C4
47,Cymbopogon schoenanthus,C4
48,Dactyloctenium aegyptium,C4
49,Danthonia NA,C3
50,Danthonia spicata,C3
51,Dichanthelium NA,C3
52,Digitaria eriantha,C4
53,Digitaria horizontalis,C4
54,Digitaria villosa,C4
55,Diheteropogon amplectens,C4
56,Diheteropogon hagerupii,C4
57,Ehrharta laevis,C3
58,Elionurus ciliaris,C4
59,Elionurus elegans,C4
60,Elionurus muticus,C4
61,Elionurus tripsacoides,C4
62,Elymus canadensis,C3
63,Elymus elymoides,C3
64,Elymus smithii,C3
65,Elymus virginicus,C3
66,Enneapogon cenchroides,C4
67,Eragrostis capensis,C4
68,Eragrostis curvula,C4
69,Eragrostis hirsuta,C4
70,Eragrostis NA,C4
71,Eragrostis nindensis,C4
72,Eragrostis racemosa,C4
73,Eragrostis refracta,C4
74,Eragrostis spectabilis,C4
75,Eragrostis superba,C4
76,Euclasta condylotricha,C4
77,Eustachys floridana,C4
78,Eustachys paspaloides,C4
79,Festuca arizonica,C3
80,Gymnopogon ambiguus,C4
81,Hackelochloa granularis,C4
82,Heteropogon contortus,C4
83,Heteropogon melanocarpus,C4
84,Hordeum pusillum,C3
85,Hyparrhenia cyanescens,C4
86,Hyparrhenia diplandra,C4
87,Hyparrhenia hirta,C4
88,Hyparrhenia subplumosa,C4
89,Hystrix patula,C3
90,Koeleria macrantha,C3
